,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
3052,30439,ROBO2,602431,610878;,[MIM:610878]Vesicoureteral reflux 2;,Familial vesicoureteral reflux,Disease-causing germline mutation(s) in,Expressive vocabulary in infants[25226531];Metabolite levels (5-HIAA/ MHPG Ratio)[23319000];Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction)[19023125];Hand grip strength[29691431];Post bronchodilator FEV1/FVC ratio[26634245;26634245];Familial lung adenocarcinoma[29924316];Periodontitis (PAL4Q3)[24024966];Post bronchodilator FEV1[26634245];,0.6612269938650307,1.0,0.44166014095536416,0.5161141804788214
3053,30441,ROBO3,608630,607313;,"[MIM:607313]Gaze palsy, familial horizontal, with progressive scoliosis, 1 [recessive?];",Horizontal gaze palsy with progressive scoliosis,Disease-causing germline mutation(s) in,,0.5128834355828221,0.4645435791645178,0.025058731401722788,0.30356046654389196
3054,30447,ROGDI,614574,226750;,,Amelocerebrohypohidrotic syndrome,Disease-causing germline mutation(s) (loss of function) in,Night sleep phenotypes[27126917];,0.2498159509202454,0.48194945848375453,0.6207256590968415,0.19429097605893186
3055,30448,ROM1,180721,608133;,,Retinitis pigmentosa,Disease-causing germline mutation(s) in,Waist-to-hip ratio adjusted for BMI[26426971;26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971;26426971];,0.16220858895705523,0.5446106240330068,0.5967110415035238,0.25475751995089013
3056,30454,ROR1,602336,617654;,"[MIM:617654]Deafness, autosomal recessive, 108 [recessive?];",Autosomal recessive non-syndromic sensorineural deafness type DFNB,Disease-causing germline mutation(s) in,Pancreatic cancer[26098869];Blood protein levels[29875488;30072576;30072576;30072576];,0.7074846625766871,0.9138731304796287,0.1245105716523101,0.6642111724984653
3057,30456,ROR2,602337,113000;268310;,[MIM:113000]Brachydactyly B1;[MIM:268310]Robinow syndrome autosomal recessive [recessive?];,Autosomal recessive Robinow syndrome;Brachydactyly type B,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (gain of function) in,Type 2 diabetes[25483131];Bone mineral density (hip)[26911590];Nose size[27182965];Bipolar disorder and schizophrenia[22688191];Bipolar disorder (inflammation and infection response interaction)[25781172];,0.8089570552147239,0.21531717380092832,0.34951709736361264,0.8612645794966237
3058,30457,RORA,600825,,,Autosomal recessive non-syndromic sensorineural deafness type DFNB,Disease-causing germline mutation(s) in,"Nickel levels[26025379];Cerebrospinal fluid beta-site APP cleaving enzyme levels[29751835];C-reactive protein levels[21300955];C-reactive protein levels or total cholesterol levels (pleiotropy)[27286809];Depression (quantitative trait)[20800221];Schizophrenia[23212062];Neuropathic pain in head and neck cancer[29884837];Menarche (age at onset)[21102462;23599027;25231870;23599027];Blood protein levels[28240269];Gamma glutamyl transferase levels[22010049];Blood urea nitrogen levels[29403010];Asthma[20860503;27182965;29273806;29273806];Chronic central serous retinopathy[30073298];Liver enzyme levels (gamma-glutamyl transferase)[22001757];Total ventricular volume (Alzheimer's disease interaction)[21116278];Body mass index[28892062];Pulmonary function decline[22424883];Response to citalopram treatment[19846067];Allergic disease (asthma, hay fever or eczema)[29083406];Allergic rhinitis[30013184];Subcutaneous adipose tissue[22589738];C-reactive protein levels or LDL-cholesterol levels (pleiotropy)[27286809];Intraocular pressure[29617998;29617998];Allergic sensitization[30013184];",0.4403680981595092,0.6405363589479113,0.87548942834769,0.952731737262124
3059,30462,RORC,602943,616622;,[MIM:616622]Immunodeficiency 42 [recessive?];,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency,Disease-causing germline mutation(s) in,"Inflammatory bowel disease[28067908;23128233];Allergic disease (asthma, hay fever or eczema)[29083406];Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)[26974007];Crohn's disease[28067908];Ulcerative colitis[28067908];Depressive symptoms (SSRI exposure interaction)[25649181];",0.8444171779141104,0.9818205260443528,0.3745758287653354,0.9604051565377533
3060,30464,RP1,603937,145750;180100;,[MIM:180100]Retinitis pigmentosa 1;,Retinitis pigmentosa,Disease-causing germline mutation(s) in,Lung cancer in ever smokers[28604730;28604730];Lung cancer[28604730];,0.14576687116564419,0.07297576070139247,0.02375358914121639,0.3612645794966237
3061,30465,RP1L1,608581,613587;,[MIM:613587]Occult macular dystrophy;,Occult macular dystrophy,Disease-causing germline mutation(s) in,Heart rate response to exercise[29769521];Amyotrophic lateral sclerosis (sporadic)[24529757];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962];Obesity-related traits[23251661];Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962];Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962];Mean arterial pressure x alcohol consumption interaction (2df test)[29912962];,0.12711656441717792,0.10108303249097472,0.0020882276168102325,0.3396255371393493
3062,30466,RP2,300757,312600;,[MIM:312600]Retinitis pigmentosa 2;,Retinitis pigmentosa,Disease-causing germline mutation(s) in,,0.7577914110429448,0.899045899948427,0.7170451579222136,0.7575199508901166
3063,30468,RP9,607331,180104;,,Retinitis pigmentosa,Disease-causing germline mutation(s) in,,0.50920245398773,0.4221248066013409,0.19577133907595928,0.26442602823818295
3064,30492,RPE65,180069,204100;613794;,[MIM:204100]Leber congenital amaurosis 2;[MIM:613794]Retinitis pigmentosa 20;,Retinitis pigmentosa;Leber congenital amaurosis;Severe early-childhood-onset retinal dystrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Mortality in sepsis[27639821];Vertical cup-disc ratio[28073927;28073927];,0.17791411042944785,0.06472408457968025,0.43017488906290785,0.7701043585021485
3065,30504,RPGR,312610,300029;300455;300834;304020;,"[MIM:300029]Retinitis pigmentosa 3;[MIM:300455]Retinitis pigmentosa and sinorespiratory infections with or without deafness;[MIM:304020]Cone-rod dystrophy, X-linked 1;[MIM:300834]Macular degeneration, X-linked, atrophic;",Primary ciliary dyskinesia;Retinitis pigmentosa;Cone rod dystrophy;Primary ciliary dyskinesia-retinitis pigmentosa syndrome;Achromatopsia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Candidate gene tested in,,0.5980368098159509,0.6717380092831357,0.14774210388932393,0.7874462860650706
3066,30505,RPGRIP1,605446,608194;613826;,[MIM:613826]Leber congenital amaurosis 6;[MIM:608194]Cone-rod dystrophy 13;,Meckel syndrome;Cone rod dystrophy;Leber congenital amaurosis,Candidate gene tested in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Body mass index[26426971];Body mass index x sex x age interaction (4df test)[26426971];Body mass index (age>50)[26426971];,0.5353374233128835,0.02630221763795771,0.10754372226572696,0.3592694904849601
3067,30506,RPGRIP1L,610937,216360;611560;611561;,[MIM:611560]Joubert syndrome 7;[MIM:611561]Meckel syndrome 5;[MIM:216360]COACH syndrome;,Meckel syndrome;Joubert syndrome with hepatic defect;Joubert syndrome with renal defect,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Bipolar disorder[21254220];Triglyceride change in response to fenofibrate in statin-treated type 2 diabetes[28736931];Systolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Eyebrow thickness[26926045];Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];,0.8748466257668711,0.7336255801959773,0.12268337248760115,0.7200736648250461
3068,30509,RPIA,180430,608611;,[MIM:608611]Ribose 5-phosphate isomerase deficiency;,Ribose-5-P isomerase deficiency,Disease-causing germline mutation(s) in,Blood protein levels[30072576];,0.7779141104294478,0.3269726663228468,0.8131036282954842,0.37047268262737876
3069,30533,RPL5,603634,612561;,[MIM:612561]Diamond-Blackfan anemia 6;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Multiple sclerosis[17660530;19525955];Height[20881960];,0.9865030674846625,0.9347601856627127,0.8600887496737144,0.0
3070,30784,RPL10,312173,300847;300998;,"[MIM:300847]Autism, X-linked 5;[MIM:300998]Mental retardation, X-linked, syndromic, 35;",X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome;X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Diverticular disease[30177863];Pulse pressure x alcohol consumption interaction (2df test)[29912962];Pulse pressure[28739976];Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962;29912962];Blood pressure[21909110];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962];Blood protein levels[29875488;30072576];,0.961717791411043,0.8285198555956679,0.9913860610806577,0.0
3071,30819,RPL11,604175,612562;,[MIM:612562]Diamond-Blackfan anemia 7;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9683435582822086,0.8423156266116555,0.9676324719394414,0.0
3072,30922,RPL15,604174,615550;,[MIM:615550]Diamond-Blackfan anemia 12;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Intelligence (MTAG)[29326435;29326435];Acne (severe)[24927181];,0.9495705521472393,0.6892728210417741,0.88775776559645,0.0
3073,30996,RPL18,604179,,,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Bipolar disorder[21926972];Elevated serum carcinoembryonic antigen levels[24941225];,0.983558282208589,0.868746776689015,0.0,0.0
3074,31049,RPL21,603636,615885;,[MIM:615885]Hypotrichosis 12;,Hypotrichosis simplex,Disease-causing germline mutation(s) in,Electrocardiographic traits[17903306];,0.9629447852760736,0.8726147498710676,0.9966066301226834,0.0
3075,31325,RPL26,603704,614900;,[MIM:614900]Diamond-Blackfan anemia 11;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9676073619631902,0.7377514182568334,0.9624119028974158,0.0
3076,31363,RPL27,607526,617408;,[MIM:617408]Diamond-Blackfan anemia 16;,Blackfan-Diamond anemia,Candidate gene tested in,,0.9595092024539877,0.8006704486848891,0.0,0.0
3077,31578,RPL35,,,,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9499386503067485,0.7302733367715317,0.9329156878099713,0.0
3078,31579,RPL35A,180468,612528;,,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9401226993865031,0.8659102630221763,0.8919342208300705,0.0
3079,31825,RPN1,180470,,,Acute myeloid leukemia with inv3(q21;q26.2) or t(3;3)(q21;q26.2),Part of a fusion gene in,Sum eosinophil basophil counts[27863252];White blood cell count (basophil)[29403010];White blood cell count[21738480;21738480];Eosinophil counts[27863252;29403010];Monocyte count[23314186;27863252;29403010];Monocyte percentage of white cells[27863252];Blood protein levels[29875488;30072576];,0.9950920245398773,0.8986591026302218,0.5311929000261029,0.7874462860650706
3080,32002,RPS6KA3,300075,300844;303600;,"[MIM:303600]Coffin-Lowry syndrome;[MIM:300844]Mental retardation, X-linked 19;",Coffin-Lowry syndrome;Symptomatic form of Coffin-Lowry syndrome in female carriers;X-linked non-syndromic intellectual disability,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.5585276073619632,0.9868488911810211,0.7645523362046464,0.0
3081,32036,RPS7,603658,612563;,[MIM:612563]Diamond-Blackfan anemia 8;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9485889570552147,0.870293965961836,0.8264160793526495,0.0
3082,32067,RPS10,603632,613308;,[MIM:613308]Diamond-Blackfan anemia 9;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9514110429447853,0.8935018050541517,0.9584964761158966,0.0
3083,32149,RPS14,130620,,,Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality,Role in the phenotype of,Inflammatory bowel disease[28067908];Visceral adipose tissue/subcutaneous adipose tissue ratio[22589738];Crohn's disease[28067908];,0.9877300613496932,0.8700361010830325,0.0,0.0
3084,32160,RPS15,180535,,,B-cell chronic lymphocytic leukemia,Disease-causing somatic mutation(s) in,,0.9229447852760736,0.8428313563692625,0.9984338292873923,0.0
3085,32222,RPS17,180472,612527;,[MIM:612527]Diamond-Blackfan anemia 4;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Copper levels[26025379];,0.9455214723926381,0.6606498194945848,0.0,0.0
3086,32254,RPS19,603474,105650;,,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,,0.9369325153374233,0.7539969056214544,0.9956930305403289,0.0
3087,32263,RPS20,603682,,,Familial colorectal cancer Type X,Disease-causing germline mutation(s) in,Systemic lupus erythematosus[28714469];Height[18391951];,0.9457668711656442,0.5221763795771016,0.833463847559384,0.0
3088,32319,RPS24,602412,610629;,,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Diverticular disease[30177863];,0.9688343558282209,0.7885507993811243,0.9660663012268337,0.0
3089,32350,RPS26,603701,613309;,[MIM:613309]Diamond-Blackfan anemia 10;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) in,Vitiligo[22951725];Psoriasis[20953189;25574825];Anorexia nervosa[28494655];Nonsyndromic cleft lip with cleft palate[28232668];Hypothyroidism[27182965];Cognitive function[25644384];Inflammatory skin disease[25574825];,0.9521472392638037,0.8334192882929345,0.9956930305403289,0.0
3090,32409,RPS27,603702,617409;,,Blackfan-Diamond anemia,Candidate gene tested in,,0.8915337423312883,0.6808922124806601,0.9960845732184808,0.0
3091,32460,RPS28,603685,606164;,"[MIM:606164]Diamond-Blackfan anemia 15, with mandibulofacial dysostosis;",Blackfan-Diamond anemia,Disease-causing germline mutation(s) (loss of function) in,,0.9077300613496933,0.7882929345023207,0.9989558861915949,0.0
3092,32470,RPS29,603633,615909;,[MIM:615909]Diamond-Blackfan anemia 13;,Blackfan-Diamond anemia,Disease-causing germline mutation(s) (loss of function) in,Visceral fat[22589738];Rosacea symptom severity[29771307];Visceral adipose tissue/subcutaneous adipose tissue ratio[22589738];Post-traumatic stress disorder (asjusted for relatedness)[23726511;23726511];,0.912883435582822,0.64853017019082,0.9942573740537719,0.0
3093,32504,RPSA,150370,271400;,"[MIM:271400]Asplenia, isolated congenital;",Familial isolated congenital asplenia,Disease-causing germline mutation(s) in,,0.9431901840490797,0.8329035585353275,0.9788566953797964,0.0
3094,32593,RRAS,165090,,,Noonan syndrome;Juvenile myelomonocytic leukemia,Candidate gene tested in;Candidate gene tested in,Systolic blood pressure[27618447];Schizophrenia[25056061];Pulse pressure[27618447];,0.4622085889570552,0.3996905621454358,0.7611589663273297,0.413597298956415
3095,32596,RREB1,602209,,,22q11.2 deletion syndrome,Modifying germline mutation in,Type 2 diabetes[24509480];Multiple sclerosis[21833088];Ewing sarcoma[30093639];Lymphocyte counts[27863252];Myeloid white cell count[27863252];Hematocrit[27863252];Sum basophil neutrophil counts[27863252];High light scatter reticulocyte count[27863252];Neutrophil count[27863252];Waist-to-hip ratio adjusted for BMI[26426971];Hemoglobin concentration[27863252];Reticulocyte fraction of red cells[27863252];Fasting blood glucose (BMI interaction)[22581228];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];Urate levels[20884846;23263486];Fasting blood glucose[22581228];Reticulocyte count[27863252];Visceral adipose tissue adjusted for BMI[22589738;22589738;27918534;27918534;27918534];Heel bone mineral density[28869591;28869591;28869591;28869591;28869591;28869591];Vertical cup-disc ratio[28073927;28073927];Red blood cell count[27863252];Waist-hip ratio[23966867];Waist-to-hip ratio adjusted for BMI (age >50)[26426971];Waist-to-hip ratio adjusted for BMI (age <50)[26426971];Age-related macular degeneration[20385826];White blood cell count[27863252];Multiple system atrophy[27629089];Monocyte count[27863252;27863252];,0.7743558282208589,0.6952037132542548,0.02975724353954581,0.9950890116635973
3096,32601,RRM2B,604712,612075;613077;,"[MIM:612075]Mitochondrial DNA depletion syndrome 8A;[MIM:612075]Mitochondrial DNA depletion syndrome 8B;[MIM:613077]Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5 [dominant?];","Kearns-Sayre syndrome;Autosomal dominant progressive external ophthalmoplegia;Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy;Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy;Mitochondrial neurogastrointestinal encephalomyopathy",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Mean corpuscular volume[29403010];Mean corpuscular hemoglobin[29403010];Chronic obstructive pulmonary disease[28166215];Blood protein levels[29875488;30072576];,0.35496932515337426,0.2552862300154719,0.0,0.7166973603437692
3097,32621,RS1,300839,312700;,[MIM:312700]Retinoschisis juvenile X-linked 1;,X-linked retinoschisis,Disease-causing germline mutation(s) in,,0.17791411042944785,0.8971119133574007,0.6173322892195249,0.0
3098,32626,RSC1A1,601966,,,X-linked retinoschisis,Disease-causing germline mutation(s) in,Alcoholic chronic pancreatitis[28754779;28754779];,0.22687116564417178,0.07065497679216091,0.19081179848603497,0.07028852056476366
3099,32644,RSPH1,609314,615481;,,Primary ciliary dyskinesia,Disease-causing germline mutation(s) (loss of function) in,,0.038773006134969326,0.2784940691077875,0.4171234664578439,0.16313689379987723
3100,32645,RSPH3,615876,616481;,"[MIM:616481]Ciliary dyskinesia, primary, 32;",Primary ciliary dyskinesia,Disease-causing germline mutation(s) in,Systemic lupus erythematosus[28714469];Lipoprotein (a) levels[26377243];Bladder cancer (smoking interaction)[24662972];,0.21484662576687116,0.27153171738009285,0.03445575567736883,0.14809699201964396
3101,32646,RSPH4A,612647,612649;,,Primary ciliary dyskinesia,Disease-causing germline mutation(s) in,,0.038773006134969326,0.10856111397627644,0.0947533281127643,0.010589318600368325
3102,32648,RSPH9,612648,612650;,"[MIM:612650]Ciliary dyskinesia, primary, 12;",Primary ciliary dyskinesia,Disease-causing germline mutation(s) in,Waist-to-hip ratio adjusted for BMI (age >50)[26426971];Waist-to-hip ratio adjusted for BMI (age <50)[26426971];Intracranial aneurysm[29531279];Waist-to-hip ratio adjusted for BMI[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.2585276073619632,0.12351727694687983,0.23257635082223962,0.6042050337630448
3103,32652,RSPO1,609595,610644;,"[MIM:610644]Keratoderma, palmoplantar, with squamous cell carcinoma of skin and sex reversal;",Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,Disease-causing germline mutation(s) in,Epithelial ovarian cancer[25581431;25581431];Axial length[24144296];Eyebrow thickness[26926045];Intraocular pressure[30054594;29785010];,0.28662576687116564,0.2815884476534296,0.37170451579222136,0.42326580724370777
3104,32653,RSPO2,610575,,,Tetraamelia-multiple malformations syndrome,Disease-causing germline mutation(s) in,Male-pattern baldness[29146897;29146897;29146897];Dupuytren's disease[21732829;28886342];Ossification of the posterior longitudinal ligament of the spine[25064007];Blood protein levels[30072576];Acute lymphoblastic leukemia (childhood)[22076464];,0.26588957055214724,0.463898916967509,0.0485512920908379,0.42602823818293434
3105,32655,RSPO4,610573,206800;,"[MIM:206800]Nail disorder, non-syndromic congenital, 4;",Anonychia congenita totalis,Disease-causing germline mutation(s) in,Blood protein levels[30072576];,0.2498159509202454,0.3494069107787519,0.4667188723570869,0.5434315531000614
3106,32656,RSPRY1,616585,616723;,"[MIM:616723]Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type [recessive?];",Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome,Disease-causing germline mutation(s) (loss of function) in,Angiotensin-converting enzyme inhibitor intolerance[28030426];,0.7573006134969326,0.7021660649819494,0.7718611328634821,0.7154696132596685
3107,32669,RTEL1,608833,615190;616373;,"[MIM:615190]Dyskeratosis congenita, autosomal recessive, 5 [recessive?];[MIM:615190]Dyskeratosis congenita, autosomal dominant, 4 [dominant?];[MIM:616373]Pulmonary fibrosis, and/or bone marrow failure, telomere- related, 3;",Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Idiopathic pulmonary fibrosis,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Major susceptibility factor in,"Glioblastoma (age-stratified)[30152087;30152087;30152087];Glioblastoma[28346443;29743610;29743610];Plateletcrit[27863252];Crohn's disease[21102463;28067908];Telomere length[29151059];Non-glioblastoma glioma[28346443;29743610];Inflammatory bowel disease[28067908];Dental caries[23259602];Allergic disease (asthma, hay fever or eczema)[29083406];Glioma[19578367;21531791;22886559;28346443;29743610;29743610];Atopic dermatitis[26482879];Cutaneous malignant melanoma[26237428];Glioma (high-grade)[19578366;19578366;24908248];Prostate cancer[23535732];Ulcerative colitis[21297633;28067908];",0.7257668711656442,0.14311500773594638,0.22839989558861917,0.8804481276856968
3108,32676,RTL1,611896,,,Temple syndrome due to paternal 14q32.2 microdeletion;Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion;Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation;Temple syndrome due to paternal 14q32.2 hypomethylation;Temple syndrome due to maternal uniparental disomy of chromosome 14;Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14,Role in the phenotype of;Role in the phenotype of;Role in the phenotype of;Role in the phenotype of;Role in the phenotype of;Role in the phenotype of,Pelvic organ prolapse (moderate/severe)[26545240];Type 1 diabetes[19966805];,0.08736196319018405,0.3849922640536359,0.09266510049595406,0.29665438919582565
3109,32687,RTN2,603183,604805;,,Autosomal dominant spastic paraplegia type 12,Disease-causing germline mutation(s) in,Cognitive decline rate in late mild cognitive impairment[26252872;26252872];,0.3168098159509202,0.7957710159876225,0.6614460976246411,0.2678023327194598
3110,32691,RTN4IP1,610502,616732;,,Autosomal recessive isolated optic atrophy,Disease-causing germline mutation(s) in,Daytime sleep phenotypes[27126917];,0.8397546012269939,0.29834966477565755,0.7804750717828244,0.14548802946593
3111,32701,RTTN,610436,614833;,"[MIM:614833]Microcephaly, short stature, and polymicrogyria with or without seizures;",Microcephalic primordial dwarfism due to RTTN deficiency,Disease-causing germline mutation(s) in,Mean platelet volume[27863252];Platelet distribution width[27863252];Night sleep phenotypes[27126917];,0.5731288343558282,0.19907168643630738,0.2939180370660402,0.06015960712093309
3112,32702,RUBCN,613516,615705;,"[MIM:615705]Spinocerebellar ataxia, autosomal recessive, 15 [recessive?];",Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency,Disease-causing germline mutation(s) in,,0.5969325153374233,0.2581227436823105,0.0,0.0
3113,32712,RUNX1,151385,601399;,[MIM:601399]Familial platelet disorder with associated myeloid malignancy;,Isolated delta-storage pool disease;Chronic myeloid leukemia;Hereditary thrombocytopenia with normal platelets-hematological cancer predisposition syndrome;Acute myeloid leukemia with t(8;21)(q22;q22) translocation;Precursor B-cell acute lymphoblastic leukemia,Disease-causing germline mutation(s) in;Biomarker tested in;Disease-causing germline mutation(s) in;Part of a fusion gene in;Part of a fusion gene in,"Psoriasis[25903422;25903422];White blood cell count (basophil)[27863252];Plateletcrit[27863252];Basophil percentage of white cells[27863252];Eosinophil counts[27863252;27863252;27863252;27863252];Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)[21829377];Basophil percentage of granulocytes[27863252];Immune response to smallpox vaccine (IL-6)[22542470];Sum eosinophil basophil counts[27863252;27863252;27863252;27863252];Male-pattern baldness[27182965;29146897];Eosinophil percentage of granulocytes[27863252;27863252;27863252;27863252];Rheumatoid arthritis (ACPA-positive)[24532676;23143596];Allergic disease (asthma, hay fever or eczema)[29083406];Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)[23603761];Rheumatoid arthritis[24390342;24390342;23143596];Preeclampsia[23551011];Esophageal squamous cell carcinoma[25129146];Neutrophil percentage of granulocytes[27863252;27863252];Esophageal cancer[21642993];Platelet count[27863252];Eosinophil percentage of white cells[27863252;27863252;27863252;27863252];",0.7565644171779141,0.8517276946879835,0.6737144348734012,0.7183855125844076
3114,32714,RUNX1T1,133435,,,Acute myeloid leukemia with t(8;21)(q22;q22) translocation,Part of a fusion gene in,Intelligence (MTAG)[29326435];Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder[26184070];,0.52920245398773,0.9599020113460547,0.8133646567475855,0.5285451197053407
3115,32715,RUNX2,600211,119600;156510;,[MIM:119600]Cleidocranial dysplasia;[MIM:156510]Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly [dominant?];,Cleidocranial dysplasia;Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in,Hip minimal joint space width[27701424;27701424];Central corneal thickness[29760442];Mosquito bite size[28199695];Progressive supranuclear palsy[30089514];facial morphology traits (multivariate analysis)[27193062];Periodontal microbiota[22699663];Height[18391951;25429064];Itch intensity from mosquito bite[28199695];Survival in pancreatic cancer[28470677];Intraocular pressure[30054594;29785010];,0.49938650306748467,0.8741619391438886,0.6695379796397808,0.8914978514426029
3116,32740,RXYLT1,605862,615041;,[MIM:615041]Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A10 [recessive?];,Walker-Warburg syndrome,Disease-causing germline mutation(s) (loss of function) in,,0.038773006134969326,0.5335224342444559,0.0,0.0
3117,32745,RYR1,180901,117000;145600;255320;,[MIM:145600]Malignant hyperthermia 1;[MIM:117000]Central core disease of muscle [recessive?];[MIM:255320]Multiminicore disease with external ophthalmoplegia;,Central core disease;Autosomal recessive centronuclear myopathy;Autosomal dominant centronuclear myopathy;Malignant hyperthermia of anesthesia;Moderate multiminicore disease with hand involvement;Benign Samaritan congenital myopathy;Exercise-induced malignant hyperthermia;Congenital myopathy with myasthenic-like onset;Lethal multiple pterygium syndrome;King-Denborough syndrome;Congenital multicore myopathy with external ophthalmoplegia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Candidate gene tested in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Major susceptibility factor in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Peanut allergy (parent-of-origin effect)[29489655];White blood cell count (basophil)[27863252];Diisocyanate-induced asthma[25918132];Basophil percentage of white cells[27863252];Basophil percentage of granulocytes[27863252];,0.43754601226993867,0.3898916967509025,0.16235969720699556,0.9917127071823204
3118,32746,RYR2,180902,600996;604772;,"[MIM:600996]Arrhythmogenic right ventricular dysplasia, familial, 2;[MIM:604772]Ventricular tachycardia, catecholaminergic polymorphic, 1, with or without atrial dysfunction and/or dilated cardiomyopathy [dominant?];","Catecholaminergic polymorphic ventricular tachycardia;Familial isolated arrhythmogenic ventricular dysplasia, right dominant form;Familial isolated arrhythmogenic ventricular dysplasia, biventricular form;Familial isolated arrhythmogenic ventricular dysplasia, left dominant form",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Hypertension[17554300];Bipolar disorder and eating disorder[26433762];Response to taxane treatment (docetaxel)[23006423];Exercise treadmill test traits[17903301];Lipid traits[24386095];Cerivastatin-induced rhabdomyolysis[21386754];Lung function (FEV1)[30061609];Obesity-related traits[23251661;23251661];Acute lymphoblastic leukemia (childhood)[19684603];Lung function (FVC)[30061609;30061609];,0.6019631901840491,1.0,0.21952492821717567,0.8858195211786372
